"part_id","hh_id","part_age","part_gender"
"F9_600548","HHF9_600548","30-39","F"
"F9_600551","HHF9_600551","30-39",NA
"F9_600553","HHF9_600553","40-49","F"
"F9_600555","HHF9_600555","50-59","F"
"F9_600557","HHF9_600557","40-49","M"
"F9_600558","HHF9_600558","40-49","M"
"F9_600562","HHF9_600562","40-49","M"
"A8_10245","HHA8_10245","40-49","M"
"F9_600568","HHF9_600568","40-49","F"
"F9_600569","HHF9_600569","60-69","M"
"F9_600573","HHF9_600573","18-29","F"
"F9_600575","HHF9_600575","30-39","M"
"F9_600576","HHF9_600576","30-39","M"
"F9_600583","HHF9_600583","12-17","F"
"F9_600584","HHF9_600584","60-69","F"
"F9_600587","HHF9_600587","50-59","F"
"F9_600592","HHF9_600592","12-17","M"
"F9_600594","HHF9_600594","5-11","F"
"A8_10246","HHA8_10246","40-49","M"
"F9_600595","HHF9_600595","70-120","M"
"F9_600600","HHF9_600600","40-49","M"
"F9_600605","HHF9_600605","50-59","F"
"F9_600607","HHF9_600607","60-69","F"
"F9_600615","HHF9_600615","30-39","F"
"F9_600617","HHF9_600617",NA,"M"
"F9_600621","HHF9_600621","30-39","F"
"F9_600623","HHF9_600623","5-11","F"
"F9_600626","HHF9_600626",NA,"M"
"F9_600627","HHF9_600627","30-39","M"
"A8_10247","HHA8_10247","40-49","F"
"F9_600628","HHF9_600628","50-59","F"
"F9_600629","HHF9_600629","50-59","F"
"F9_600633","HHF9_600633","70-120","M"
"F9_600634","HHF9_600634","30-39","F"
"F9_600636","HHF9_600636","30-39","M"
"F9_600640","HHF9_600640","50-59","F"
"F9_600642","HHF9_600642","30-39","F"
"F9_600643","HHF9_600643","70-120","M"
"F9_600644","HHF9_600644","50-59","M"
"F9_600648","HHF9_600648","5-11","M"
"A1_11003","HHA1_11003","40-49","M"
"A8_10249","HHA8_10249","60-69","F"
"F9_600654","HHF9_600654","60-69","F"
"F9_600657","HHF9_600657","12-17","M"
"F9_600661","HHF9_600661","30-39","F"
"F9_600663","HHF9_600663","50-59","F"
"F9_600665","HHF9_600665","60-69","F"
"F9_600667","HHF9_600667","40-49","F"
"F9_600668","HHF9_600668","30-39","F"
"F9_600669","HHF9_600669","18-29","F"
"F9_600673","HHF9_600673","30-39","F"
"F9_600678","HHF9_600678","60-69","M"
"A8_10251","HHA8_10251","30-39","M"
"F9_600681","HHF9_600681","50-59","F"
"F9_600686","HHF9_600686","50-59","F"
"F9_600688","HHF9_600688","40-49","F"
"F9_600689","HHF9_600689","70-120","M"
"F9_600691","HHF9_600691","40-49","M"
"F9_600693","HHF9_600693","12-17","M"
"F9_600696","HHF9_600696","18-29","F"
"F9_600704","HHF9_600704","50-59","M"
"F9_600706","HHF9_600706","40-49","M"
"F9_600709","HHF9_600709","60-69","F"
"A8_10252","HHA8_10252","60-69","F"
"F9_600711","HHF9_600711","30-39","F"
"F9_600712","HHF9_600712","60-69","M"
"F9_600714","HHF9_600714","30-39","M"
"F9_600716","HHF9_600716","30-39","F"
"F9_600718","HHF9_600718","30-39","M"
"F9_600721","HHF9_600721","5-11","M"
"F9_600722","HHF9_600722","40-49","F"
"F9_600727","HHF9_600727","60-69","M"
"F9_600729","HHF9_600729","40-49","M"
"F9_600732","HHF9_600732","40-49","M"
"A8_10253","HHA8_10253","50-59","M"
"F9_600733","HHF9_600733","50-59","F"
"F9_600734","HHF9_600734","50-59","F"
"F9_600736","HHF9_600736","60-69","F"
"F9_600744","HHF9_600744","18-29","F"
"F9_600745","HHF9_600745","40-49","M"
"F9_600750","HHF9_600750","30-39","M"
"F9_600754","HHF9_600754","40-49","F"
"F9_600770","HHF9_600770","0-4","F"
"F9_600771","HHF9_600771","18-29","F"
"F9_600773","HHF9_600773",NA,"M"
"A8_10254","HHA8_10254","50-59","M"
"F9_600777","HHF9_600777","50-59","F"
"F9_600779","HHF9_600779","0-4","F"
